skill_no,grammar_skills,skill_description,skill_examples
128,Reported Speech (questions and commands),"- Reported speech is used to tell someone what another person said, without repeating their exact words. Instead of using quotation marks, we change the sentence so it fits into our own speech.

-  When we report questions, we usually:
Change the word order to a normal statement (subject + verb).Use verbs like asked, wanted to know, wondered.

-  Do not use the auxiliary do/does/did.
Keep the question word (what, where, when, why, how), or use if/whether for yes/no questions.

Example:
Direct question: “Where do you live?”
Reported: He asked me where I lived.

-  When we report commands or requests, we usually:
Use verbs like told, asked, ordered, advised, invited.Use the infinitive (to + verb) instead of the imperative.

Example:
Direct command: “Please sit down.”
Reported: She asked me to sit down.- ","1. Direct: “When will you finish the project?”
Reported: She asked me when I would finish the project.
2. Direct: “Do you like spicy food?”
Reported: He wanted to know if I liked spicy food.
3. Direct: “Can you help me with this exercise?”
Reported: She asked me to help her with the exercise."
129,Relative Clauses (defining),"A relative clause is a part of a sentence that gives us more information about a noun. It usually begins with a relative pronoun such as who, which, that, whose, where, or when.
-Defining Relative Clauses
These clauses give essential information about the noun.
Without them, the meaning of the sentence would not be clear.(who,which,that,whose,where)
- Non-Defining Relative Clauses
These clauses give extra information about a noun.The meaning of the sentence is still complete without them.","1. The woman who lives next door is a doctor.
2. I bought a book that helps me learn English.
3. The boy whose bike was stolen is very sad."
130,Relative Clauses (non defining),"A relative clause is a part of a sentence that gives us more information about a noun. It usually begins with a relative pronoun such as who, which, that, whose, where, or when.
-Defining Relative Clauses
These clauses give essential information about the noun.
Without them, the meaning of the sentence would not be clear.(who,which,that,whose,where)
- Non-Defining Relative Clauses
These clauses give extra information about a noun.The meaning of the sentence is still complete without them.","1. My brother, who lives in Delhi, is coming to visit us next week.
2. The book, which I bought yesterday, is already one of my favorites.
3. I visited my friend in Chennai, whose house is near the beach, and we had a great time."
131,"Relative Clauses with 'whose', 'whom', 'where'","Relative clauses give more information about a noun in a sentence. They are useful because they help us connect ideas and avoid repeating words.
- Whose: We use whose to show possession (something that belongs to someone).
It replaces his/her/their/our/its.
- Whom: We use whom to refer to the object of the verb or preposition in the relative clause.
It is more formal than who, and is often used in writing.
- Where: We use where to refer to a place.
It connects the main clause with more information about the location.","1. I have a friend whose brother works in Delhi.
2. The doctor whom we visited gave me good advice.
3. This is the school where my father studied."
132,"Verb patterns: verb + -ing or to-infinitive (remember, forget, stop)","Some verbs can be followed by either -ing (the gerund form) or to + infinitive, but the meaning changes.Using -ing often refers to something real, remembered, or already done, while to + infinitive often refers to something planned, needed, or a reason for stopping.
- remember + -ing = you remember something after doing it. 
- remember + to + infinitive = you remember something before doing it.
-forget + -ing = you cannot remember something from the past.
- forget + to + infinitive = you don’t do something because you forgot.
- stop + -ing = you quit an activity completely.
- stop + to + infinitive = you pause one activity in order to do something else.","1. I remember meeting my teacher on the first day of school.
2. She forgot to send the email before the deadline.
3. We stopped to take photos of the beautiful sunset."
133,Adjectives ending in '-ing' vs. '-ed': boring vs. bored,"Many adjectives come in two forms: one ending in -ing and the other in -ed. These pairs describe different things, and it is important to understand the difference.
-ing adjectives describe the cause of a feeling. They tell us about the thing, person, or situation that makes us feel a certain way.
-ed adjectives describe the result of a feeling. They tell us how a person feels about something.
-Use -ing when describing a thing, event, or situation.
-Use -ed when describing how people feel.","1. The book was so interesting that I read it in one day.
2. She felt surprised when she saw her friends waiting for her.
3. The children were excited about the school trip.
"
134,"Clauses of contrast, purpose, and reason: despite, in spite of, so that","We often connect two ideas to show contrast, purpose, or reason. These words help us explain our thoughts more clearly.
- Clauses of Contrast (despite, in spite of): We use despite or in spite of to show a contrast between two ideas.They have the same meaning and are followed by a noun, pronoun, or -ing verb.
- Clauses of Purpose (so that): We use so that to explain the reason for doing something (the purpose).It is followed by a subject and verb.
- Clauses of Reason (because, since, as): These words give the reason why something happens.
Because is the most common. Since and as are more formal or polite.
","1. Despite his fear of heights, he climbed the mountain.
2. In spite of the traffic, we arrived on time.
3. She studies hard so that she can pass her exams."
135,would rather' / 'would prefer',"Both would rather and would prefer are used to talk about choices, preferences, or what someone wants in a particular situation. They are common ways to express what we like more between two or more options.
- Would rather is a little more informal and common in spoken English; Would prefer is slightly more formal and polite, often used in writing or when speaking respectfully.
- Structure: would rather + base verb (without to)
- Structure: would prefer + to + verb","1. I would rather watch a movie than play video games tonight.
2. She’d prefer to work from home rather than travel every day.
3. I’d prefer to leave early because I don’t like driving in the dark."
136,So / such: It was so cold that... / It was such a cold day that...,"We use so and such to make our sentences stronger. They help us show that something is more extreme than normal.
- Structure: So + adjective/adverb + that…
We use so before an adjective or an adverb.
- Structure: Such + (adjective) + noun + that…
We use such before a noun (often with an adjective).
- So is used with adjectives/adverbs only: so nice, so quickly, so beautiful.
- Such is used with a noun phrase: such a nice day, such beautiful weather, such an interesting book.


","1. It was such a hot day that we went swimming.
2. They are such good friends that they do everything together.
3. The test was so difficult that only a few students passed."
137,"Comparisons: much better, a bit bigger, better and better","When we compare two things, we often use comparative adjectives (like better, bigger, faster, more interesting). At this level, you can make your comparisons stronger or weaker by adding words like much or a bit. You can also show gradual change with expressions like better and better.
- Much + comparative
We use much to show that the difference is large.
- A bit + comparative
We use a bit to show that the difference is small.
- Better and better / bigger and bigger
We use comparative + and + comparative to show that something is changing over time or increasing/decreasing.","1. This hotel is much better than the one we stayed in last year.
2. The new classroom is a bit bigger than the old one.
3. His cooking is getting better and better every week."
138,"Articles reviewed: a/an, the, no article (in depth)","Articles are small words we use before nouns. They tell us if we are speaking about something general or something specific.
- A / An: We use a (before words starting with a consonant sound) and an (before words starting with a vowel sound) when we talk about something for the first time or when it is not specific.
- The: We use the when we talk about something specific, something already known, or something unique.
- No article: Sometimes we do not use any article. This happens with:
Plural nouns in general: Books are expensive.
Uncountable nouns in general: Water is important for life.
Names of countries, languages, meals, and sports: India is a big country. She speaks Spanish. We had dinner at 7. They play cricket.","1. The book is on the table.
2. She is drinking an orange juice.
3. Water is very important for our health."
139,"Quantifiers: all (of), most (of), none (of)","Quantifiers are words we use to talk about quantity or amount.
- All (of): We use all to mean “every person or thing in a group.”It shows the complete amount, 100%.
(All the students passed the exam.) We can use all of before a pronoun or a determiner + noun.
(All of my friends are here.)
- Most (of): We use most to mean “almost all,” but not everything or everyone. It shows a large majority, more than half.
(Most people enjoy music.)
We use most of when we are talking about a specific group.
(Most of the children in this school play cricket.)
- None (of): We use none to mean “not any.” It shows 0%.
(None of the answers were correct.)
We always use none of before a noun or pronoun.
(None of my friends live nearby.)","1. All of my family members love celebrating festivals together.
2. Most of the students in my class enjoy playing cricket.
3. None of the shops were open on Sunday."
140,each' and 'every',"The words “each” and “every” are used to talk about people or things in a group. They are similar, but they are not always the same.
- Each: Focuses on the individual items in a group.It means “one by one.”
We use it when we think about the members separately.
- Every: Focuses on the whole group.It means “all together.”
We use it when we talk about all members of a group in general.","1. Each student in the class has a different favorite subject.
2. Every morning, I go for a short walk in the neighboring park.
3. Every shop in this street closes at 9 p.m."
141,"Compound nouns: a bus driver, a headache","A compound noun is a noun that is made up of two or more words joined together to create one idea. We often use compound nouns to name people, objects, places, or feelings and learning them helps you understand and describe the world more easily.
- Structure: 
Noun + Noun: bus driver, football match, toothbrush
Adjective + Noun: blackboard, greenhouse
Verb + Noun: swimming pool, washing machine
- Compound nouns can be written in three ways:
One word (toothpaste, headache)
Two words (bus driver, credit card)
Hyphenated (mother-in-law, check-in)
","1. The bus driver was very friendly and helped the passengers.
2. I need to buy a new toothbrush at the store.
3. She had a bad headache after working all day."
142,"Word order: verb + object, place and time","The order of words in a sentence is very important. When we make a statement, we usually follow a clear pattern:Subject + Verb + Object + Place + Time
- Verb + Object: The verb shows the action, and the object is the person or thing that receives the action.
She reads a book. (""reads"" = verb, ""a book"" = object)
- Place: After the object, we say where the action happens.
She reads a book in the library.
- Time: Finally, we say when the action happens. Time expressions usually come at the end.
She reads a book in the library every evening.","1. She bought a new phone in the market yesterday.
2. They watched a movie at the theatre last night.
3. I will meet my cousin at the railway station tomorrow morning."
143,Word order of adverbs with the verb,"Adverbs are words that give us more information about the verb. They can tell us how (slowly, carefully), when (yesterday, soon), how often (always, sometimes), or where (here, outside) an action happens.The position of the adverb is important for clear meaning.
- Adverbs of frequency (always, often, usually, sometimes, never): These usually go before the main verb, but after the verb be.
- Adverbs of manner (quickly, carefully, loudly): These usually come after the verb or after the object if there is one.
- Adverbs of time (today, yesterday, soon, now): These usually go at the end of the sentence.
- Adverbs of place (here, there, everywhere, outside): These also usually go at the end of the sentence.
- Adverbs with auxiliaries or modal verbs (can, will, have, must, etc.): The adverb goes after the first auxiliary verb or modal verb.","1. I often read books before going to bed.
2. The teacher explained the lesson clearly.
3. We couldn’t find our bags anywhere.

"
144,"still', 'yet', 'already' - position and use","These three words (still, yet, already) are used to talk about time, but each has a different meaning and position in the sentence.
- We use still when something started in the past and continues in the present. It shows that the action is not finished.
- We use yet to talk about something we expect to happen, but it has not happened. It is common in negative sentences and questions.
- We use already when something happened earlier than expected. It shows that the action is completed.","1. She is still my best friend, even after all these years.
2. Has the teacher explained the homework yet?
3. Don’t make tea, I’ve already had two cups."
145,Question Tags (wider range): with different tenses and modals,"Question tags are short questions that we add to the end of a statement. They are used to check information, confirm something, or keep a conversation going.
- If the statement is positive, the tag is negative.
She is happy, isn’t she?
- If the statement is negative, the tag is positive.
They aren’t ready, are they?","1. He visited Delhi last year, didn’t he?
2. They haven’t travelled to Goa, have they?
3. They finished the project on time, didn’t they?"
146,Auxiliary Verbs for emphasis: I do like it.,"-  Auxiliary verbs are helping verbs, such as do, does, did. Normally, we use them in questions or negative sentences:
Do you like pizza?
I don’t like pizza.

- We can use do/does/did in positive sentences to show emphasis. This means we want to make our opinion stronger, to correct someone, or to show surprise.

- When do we use them?
To correct someone:
If another person thinks something is not true, we use do/does/did to make it clear.
“You don’t like football.” → “I do like football!”

- To make feelings stronger:
We add do/does/did to show enthusiasm or strong feelings.
“I do enjoy playing the guitar.”

- To insist politely:
Sometimes we use it to make polite but firm requests
“I do hope you can come to the party.”

- In the past with “did”:
We use did to emphasize something in the past.
“I did see him yesterday.”

: Structure:Subject + do/does/did + base verb
Do/does → present
Did → past","1. She does understand the rules, but she is still nervous.
2. They did enjoy the movie, despite the bad reviews.
3. I do want to visit your family this weekend."
147,Short agreements: So am I / Neither do I.,"We often want to show that we feel the same way as someone else. Instead of repeating the whole sentence, we use short agreements.
- So + auxiliary/modal verb + subject: to agree with positive sentences.
- Neither + auxiliary/modal verb + subject: to agree with negative sentences.","1. I am very excited about the trip. – So am I.
2. I don’t know the answer. – Neither do I.
3. We haven’t finished our homework. – Neither have we."
148,"Preposition + -ing: good at learning, tired of waiting","After a preposition (words like at, of, in, on, about, for, without), we usually use the -ing form of the verb.
This is because a verb cannot directly follow a preposition in its base form (wait, learn). Instead, we change the verb into the -ing form (waiting, learning).
- Adjective + preposition + -ing
good at doing
- Noun/phrase + preposition + -ing
a way of improving
- Preposition + -ing after certain verbs
They talked about going on holiday.","1. She is good at learning new songs quickly.
2. He is tired of waiting for the teacher.
3. They are interested in joining the club."
149,"Adjective + preposition combinations: interested in, afraid of","Some adjectives are often followed by a particular preposition. These pairs are called adjective + preposition combinations. The preposition changes the meaning of the adjective and shows the connection to the next word.
- Here are some useful adjective + preposition pairs:
interested in: “I am interested in history.”
afraid of: “She is afraid of snakes.”
good at : “He is good at drawing.”","1. I am interested in learning how to play the guitar.
2. She is afraid of walking alone at night.
3. He is good at solving difficult math problems."
150,"Verb + preposition combinations: listen to, depend on","Some verbs are always used with a specific preposition. These combinations are called verb + preposition combinations. The meaning of the verb often changes when it is used with a preposition, and you cannot leave the preposition out.
- listen to: We always say “listen to music,” not just “listen music.”
- depend on: We say “depend on someone,” not just “depend someone.”","1. Please listen to the teacher carefully.
2. We all depend on clean water to live.
3. The team will depend on their coach’s advice."
151,Phrasal Verbs (separable),"A phrasal verb is a verb combined with a small word, usually a preposition or an adverb (like up, on, in, out, off). Together, they create a new meaning that is often different from the original verb.
- Some phrasal verbs are separable. This means the object can go between the verb and the particle, or after the particle.
Example: turn off the TV = turn the TV off
- Some phrasal verbs are inseparable. The verb and the particle cannot be separated. The object always comes after the phrasal verb.
Example: look after the baby (not look the baby after).","1.She looked up the word in the dictionary. 
2. They turned down our invitation.
3. I filled out the application form."
152,Phrasal Verbs (inseparable),"A phrasal verb is a verb combined with a small word, usually a preposition or an adverb (like up, on, in, out, off). Together, they create a new meaning that is often different from the original verb.
- Some phrasal verbs are separable. This means the object can go between the verb and the particle, or after the particle.
Example: turn off the TV = turn the TV off
- Some phrasal verbs are inseparable. The verb and the particle cannot be separated. The object always comes after the phrasal verb.
Example: look after the baby (not look the baby after).","1. I ran into an old friend at the market yesterday.
2. She came across some interesting documents while cleaning the office.
3. I bumped into my teacher at the train station this morning."
153,It is said that... / He is said to be...',"We sometimes use “It is said that…” or “He/She is said to…” when we want to talk about what people believe, what people say, or what is generally thought. We use these phrases when we do not know exactly who is saying it, or when we don’t want to say the source of the information.
- Structure:: It is said that + clause
Used when we want to give information in a full sentence.
Example: “It is said that the temple is 500 years old.”
- Subject + is/are said to + verb
Used when we talk directly about the person or thing.
Example: “The temple is said to be 500 years old.”","1. It is said that the city has the best street food in the country.
2. He is said to be very good at solving difficult problems.
3. She is said to be the most talented singer in her village."
154,supposed to be',"The phrase “supposed to be” is used to talk about something that is expected, required, or believed to be true. It often shows obligation, rules, plans, or what people think should happen.
- Expectation / Obligation: We use “supposed to be” when someone should do something because it is a rule, duty, or plan.
Example: Students are supposed to be quiet in the library.

- Something believed to be true: We use it to say what people think or believe is true, even if we are not sure.
Example: This book is supposed to be very interesting.

- Planned situation: It can describe something that was planned but may or may not happen.
Example: The train is supposed to be here at 8 o’clock.

- Negative form: When we use it in the negative, it shows something that is not allowed or should not happen.
Example: You’re not supposed to be on your phone in class.

- Past form: We can use it in the past with was/were supposed to be to talk about something that was expected but may not have happened.
Example: He was supposed to be at the meeting yesterday, but he didn’t come.","1. This movie is supposed to be very funny.
2. We were supposed to be on holiday last week, but we canceled the trip.
3. You’re not supposed to be in this area without permission."
155,"Expressions with '-ing': It's no use..., It's worth...","We often use -ing forms (gerunds) after certain expressions.
- It’s no use + -ing: We use this expression to say that something is not helpful or effective. It means that doing the action will not change the situation or give a result.
Example meaning: “It’s no use talking to him” : Talking to him will not change anything.
- It’s worth + -ing: We use this expression to say that something is a good idea, valuable, or brings benefits. It shows that the action is useful, enjoyable, or gives a positive result.
Example meaning: “It’s worth reading this book” : Reading this book is a good idea because you will learn or enjoy something.","1. It’s no use arguing with her; she never changes her mind.
2. It’s no use trying to fix this old phone; it’s completely broken.
3. It’s worth visiting that museum; it has an amazing collection."
156,"-ing' and '-ed' clauses: the woman talking to Tom, the boy injured","We often use -ing and -ed clauses to give more information about a noun, instead of making a full sentence. They are like short forms of relative clauses.
- -ing clauses
We use an -ing clause to describe the person or thing doing an action.
- -ed clauses
We use an -ed clause to describe the person or thing that the action happened to.
- They make sentences shorter and more natural in English. Instead of two sentences, we can join them into one.
Longer: There is a woman. She is talking to Tom.
Shorter: There is a woman talking to Tom.","1. The man standing at the bus stop is my uncle.
2. Do you know the girl wearing the red dress?
3. We saw some children playing in the park."
157,Pronouns: 'a friend of mine',"We often use the structure “a + noun + of + possessive pronoun” (e.g., a friend of mine, a cousin of hers, a colleague of theirs).
- This structure means “one of my friends” or “one of her cousins”, and so on. It is a more natural and polite way to talk about people or things that belong to someone.","1. She is a friend of mine from university.
2. That shop is run by a cousin of hers.
3. We had dinner with a colleague of his yesterday"
158,on my own' / 'by myself',"The expressions “on my own” and “by myself” are used to show that someone is doing something without help from other people or alone. They usually mean the same thing and can often be used in the same sentence.
- On my own:  often used to show independence or the ability to do something without needing others.
Example: I learned to cook on my own. (I didn’t need anyone’s help.)
- By myself → often used to mean alone, or without company.
Example: I stayed at home by myself. (Nobody else was there with me.)

Sometimes, both phrases can be used without changing the meaning, but “on my own” focuses more on ability and independence, while “by myself” focuses more on being alone.","1. I solved the maths problem on my own without asking the teacher.
2. She travelled to Delhi by herself because her friends were busy.
3. We built this small garden on our own, without any professional help."
159,"Using adjectives as nouns: the rich, the unemployed","Some adjectives can be used as nouns to talk about a group of people who share the same quality or condition. We usually put “the” + adjective to mean “people who are…” followed by that adjective.
- This form is always plural and refers to a group, not to one person.
We say: The rich are powerful and Not: The rich is powerful. ","1. The rich often have more opportunities than the poor.
2. The unemployed are looking for new jobs after the factory closed.
3. The young are usually more open to learning new technologies."
160,Countable nouns with a/an and some,"Countable nouns are things we can count as separate items. For example: book, apple, chair, idea. They can be singular (one item) or plural (more than one).
- When we talk about singular countable nouns, we usually use a or an.
'a' is used before words that begin with a consonant sound (e.g., a book, a dog).
'an' is used before words that begin with a vowel sound (a, e, i, o, u) or a silent h (e.g., an apple, an hour).

- When we talk about more than one, but not a specific number, we often use some with plural countable nouns. some means “a number of” or “a few.” It is used when the exact number is not important. For example: some books, some apples.

- We also use some in offers and requests:
Would you like some tea?
Can I have some pencils, please?","1. I need a new notebook for my English class.
2. She is eating an apple while waiting for the bus.
3. There are some chairs in the corner of the room."
161,Distinguishing 'like' and 'as',"In English, “like” and “as” are often confusing because both are used for comparison. However, they are used in different ways.
- Like: is used before a noun or pronoun.It means “similar to.”
It does not introduce a full clause (a subject + verb).
Example: She sings like a professional singer.
(Here, “a professional singer” is a noun phrase, not a full sentence.)

- As: is used before a subject + verb (a full clause).It shows the way something happens or the role of a person/thing.
It can also mean “in the same way.”
Example: She sings as her teacher taught her.
(Here, “her teacher taught her” is a clause with subject + verb.)","1. This soup tastes like the one my grandmother used to make.
2. She works as a teacher in a primary school.
3. I left early, as I was feeling unwell."
162,prefer' and 'would rather',"Both prefer and would rather are used to talk about likes and choices. They are common when comparing two or more options.
- Prefe: Prefer + noun/gerund (-ing form): We use prefer when talking about general likes.
Example: I prefer coffee to tea.
- Prefer + to + verb: We use this form when talking about what we like doing.
Example: I prefer to read in the morning.

Structure:Prefer + noun + to + noun; Prefer + verb-ing + to + verb-ing; Prefer + to + verb

- Would Rather: Would rather + base verb: We use would rather for specific situations or choices in the present or future.
Example: I would rather stay at home tonight.

- Would rather + subject + past verb: We use this when talking about what we want someone else to do.
Example: I’d rather you came earlier.

Structure:Would rather + base verb; Would rather + subject + past verb","1. She prefers to walk to work instead of taking the bus.
2. I would rather go out for dinner than cook tonight.
3. She would rather go shopping tomorrow instead of today."
163,"Prepositions of time: during, while, until","Prepositions of time help us say when something happens. At the B1 level, three common words are during, while, and until. They are similar but used in different ways.
- During: We use during + a noun to show that something happens in a period of time.
- While: We use while + a subject and verb to show that two actions happen at the same time.
- Until: We use until to show that an action or situation continues up to a point in time and then stops.","1. I met many new people during the conference.
2. She was listening to music while she cleaned the house.
3. We cannot leave the office until the manager finishes the meeting."
164,get used to' vs. 'be used to' vs. 'used to',"- Used to + base verb: We use “used to” to talk about past habits or situations that are not true now.It shows something was true in the past, but it has changed.

Example:I used to play cricket every evening, but now I don’t have time.

- Be used to + noun / -ing form: We use “be used to” to show that something is normal, familiar, or not strange anymore.It means you are comfortable with it.

Example:She is used to waking up early because of her job.

- Get used to + noun / -ing form: We use “get used to” to show the process of becoming familiar with something new.At first it may be difficult, but over time it becomes easier.

Example:He is getting used to driving on the left side of the road in India.","1. I used to eat a lot of fast food, but now I prefer home-cooked meals.
2. He is getting used to speaking English at work.
3. We used to visit our grandparents every summer when we were children."
165,"Third Conditional: If I had studied, I would have passed.","The third conditional is used to talk about imaginary situations in the past. It describes something that did not really happen, but we imagine what the result would have been if things had been different.
- The third conditional helps us express regret, criticism, or reflection about past actions.
- Structure:If + past perfect, would have + past participle","1. If I had set an alarm, I would have woken up on time.
2. If they had invited me, I would have gone to the party.
3. She would have been upset if you had forgotten her birthday."
166,how long have you (been) ... ?,"We use “How long have you … ?” to ask about the duration of an action or state that started in the past and continues now.
With Present Perfect Simple: How long have you lived here? → focus on the result or state.
With Present Perfect Continuous: How long have you been studying? → focus on the ongoing activity.
It is common with for (a period of time) and since (a point in time).
Structure
Question:
How long + have/has + subject + past participle (+ object)?
or
How long + have/has + subject + been + verb-ing (+ object)?","1. How long have you lived in this city?
2. How long have you been waiting for the bus? 
3. How long have they been learning English?"
167,Have and have got ,"We use have and have got to talk about possession, relationships, illness, and sometimes experiences.
Have got is more common in British English, especially in spoken language.
Have is used in both British and American English, and is more formal or in writing.
Both forms mean the same thing, but the structure is different.
 Structure
Affirmative:
I have a car.
I have got a car.
Negative:
I don’t have a car.
I haven’t got a car.
Questions:
Do you have a car?
Have you got a car?

- Both forms are used for the present.
- For past → only had (not had got): I had a bike when I was a child.
- For habits or actions (e.g., having lunch) → use have, not have got: I usually have lunch at 1 pm.","1. I have two brothers.
2. I have got a headache.
3. Do you have a pen?"
168,"when I do and when I’ve done, if and when","1. When I do vs. When I’ve done
Both are used with time clauses, but the meaning changes slightly:
When I do → Focus on the action happening in the future.
When I’ve done → Focus on the action being completed before something else.
Structure:
When + Present Simple (future meaning) → When I do my homework, I’ll call you.
When + Present Perfect (completed action) → When I’ve done my homework, I’ll call you.

2. If and When
If → Something is possible but not certain.
When → Something is certain (you know it will happen).

 Combined Use:
Sometimes we use if and when together to mean if it happens, then when it happens…:
 If and when you need help, call me.
(= If you need help, and when that moment comes, call me.)","1. If I go to London, I’ll visit the museum.
2. When I go to London, I’ll visit the museum. 
3. I’ll send you the report when I finish it."
169,I’d better ... it’s time ...,"1. I’d better-
Meaning:
“I’d better” = I had better. We use it to give strong advice or recommendation to ourselves or someone else.
It means it is a good idea or necessary to do something, or there could be a problem.
Structure:
I’d better + base verb (no “to”)

2. It’s time …
Meaning:
We use It’s time to say something should happen now or very soon.
Often used when something is late or delayed.
Structure:
It’s time + to-infinitive → It’s time to go.
It’s time + subject + past simple (for stronger meaning or criticism) → It’s time you started studying.","1. I’d better leave now, or I’ll miss the train.
2. You’d better see a doctor about that cough.
3. It’s time to go home."
170,Auxiliary verbs (have/do/can etc.) I think so / I hope so etc,"1. Auxiliary Verbs (have, do, can, etc.)
Definition:
Auxiliary verbs are helping verbs. They help the main verb form questions, negatives, and short answers. Common auxiliary verbs are:
be, have, do, can, will, should, must.
a) In Questions and Negatives
Do you like coffee?
I don’t like tea.
Have you finished your homework?
He hasn’t called yet.
b) In Short Answers
We often use auxiliary verbs in short answers instead of repeating the whole sentence:
Do you like pizza? – Yes, I do.
Can you swim? – Yes, I can.
Have you been to Paris? – No, I haven’t.

2. I think so / I hope so / I don’t think so
We use so to avoid repeating the whole sentence.
Will it rain? – I think so. (= I think it will rain.)
Are you coming to the party? – I hope so. (= I hope I am coming.)
Is she tired? – I don’t think so. (= I don’t think she is tired.)
✔ Other common phrases:
I suppose so.
I guess so.
I believe so.","1. Do you play tennis?
2. I don’t watch TV in the morning.
3. Have you seen that movie yet?"
171,Verb (+ object) + to ... (I want you to ...),"Some verbs can be followed by an object and then a to-infinitive.
This structure means that the subject wants, expects, or asks someone else to do something.
Structure
Subject + Verb + Object + to + Base Verb","1. I want you to help me with this project.
2. She told me to be on time.
3. They expect us to finish by Friday."
172,"Verb + -ing or to ... 2 (try, need, help)","Some verbs can be followed by -ing or to + verb, but the meaning changes.
For example:
try to do = make an effort
try doing = do something as an experiment
Structure
Verb + -ing
Verb + to + Base Verb","1. I need to finish my homework.
2. She helped me to carry the bags.
3. Try adding some salt to the soup."
173,-’s (your sister’s name) and of ... (the name of the book),"’s and of ... for Possession – B1 Level
Definition
We use ’s or of to show who something belongs to.
’s is common for people and animals.
of is common for things or objects.
Structure
Person/animal + ’s + noun
the + noun + of + noun","1. This is my sister’s name.
2. What is the teacher’s opinion?
3. That is the name of the book."
174,"""Mustn't"" ""needn't""- Modals","Definition
Mustn’t = It is not allowed. Something is forbidden.
Needn’t = It is not necessary. You don’t have to do it.
Structure
Subject + mustn’t + base verb
Subject + needn’t + base verb","1. Students mustn’t cheat in the exam. 
2. You needn’t bring any food.
3. She needn’t come early tomorrow."
175,Mixed Conditionals: combining second and third conditionals,"- Mixed conditionals are used when we want to connect different times in one conditional sentence. They combine parts of the second conditional (present or future unreal situations) and the third conditional (past unreal situations).

-  The second conditional: If + past simple, would + base verb → talks about unreal or hypothetical situations in the present or future.
Example: If I had more time, I would travel.

-  The third conditional: If + past perfect, would have + past participle → talks about unreal or hypothetical situations in the past.
Example: If I had studied harder, I would have passed the exam.

- When we mix them, the time in the “if-clause” and the time in the result clause are different. This lets us express how a past event affects the present, or how a present state could have changed the past.","1.  If I spoke French, I would have joined the Paris trip last year.
2. If we had met earlier, we would be good friends today.
3. If they had saved more money, they would be traveling the world now."
176,"Alternatives to 'if' in conditionals: unless, provided that, as long as","While if is the most common way to introduce conditions, at this level it is important to use it with other expressions such as unless, provided that, and as long as. These add variety and precision to your sentences.They are especially common in spoken English, formal agreements, and when expressing rules or requirements.
- Unless:means if not. It introduces a condition that must be avoided or prevented.It is often used to warn or explain a negative result.
Example: You won’t pass the exam unless you study hard. (= You will pass the exam only if you study hard.)

- Provided that: means only if. It sets a strong condition that must be met for something to happen.It is slightly more formal than if.
Example: You can borrow my car provided that you drive carefully. (= You can borrow it, but only on this condition.)

- As long as: also means only if, but it is less formal than provided that.It often suggests a continuing condition or requirement.
Example: I’ll support your decision as long as you explain it clearly.
","1. You won’t understand the film unless you read the book first.
2. The bank will give you the loan provided that you can show proof of income.
3. We can stay out late as long as we return home together."
177,wish' / 'if only' + Past Perfect: for past regrets,"We use wish or if only with the past perfect tense to talk about regrets—things that happened in the past but we would like to change.
- Wish + past perfect expresses that we are unhappy about a past situation or decision.
- If only + past perfect is a stronger way of expressing the same idea. It emphasizes the feeling of regret or disappointment.

- Structure: wish + subject + had + past participle; if only + subject + had + past participle

Examples of meaning
I wish I had studied harder for the exam: I regret not studying enough.
If only we had left earlier, we wouldn’t have missed the train: We regret leaving late.

- These structures do not describe the present or future. They are only used to talk about things that are finished and cannot be changed.","1. I wish I had listened to my teacher’s advice.
2. If only they had called me earlier, I could have helped.
3. I wish we had taken more photos on our trip."
178,wish' + 'would': for complaints,"We often use the structure wish + would to talk about things they find annoying, frustrating, or unpleasant. It is a way of complaining politely or expressing irritation about someone else’s actions or situations we cannot control.

- Structure: Subject + wish + subject + would + verb
Example: I wish you would stop making so much noise.","1. I wish you would stop interrupting me when I’m speaking.
2. She wishes her brother would clean up after himself.
3. I wish the traffic would move faster this morning."
179,Past Perfect Continuous: I had been waiting.,"The Past Perfect Continuous tense is used to show that an action was ongoing for a period of time in the past, and it happened before another past event or before a specific point in the past. It combines the sense of duration (how long something continued) with the idea of sequence (one event before another).

- Structure:Subject + had been + present participle (-ing form of the verb)
Example: I had been waiting for an hour before the train finally arrived.","1. I had been waiting at the bus stop for 30 minutes before the bus finally came.
2. She was exhausted because she had been running all morning.
3. We had been walking in the rain, so our clothes were completely wet."
180,"Future in the Past: I was going to..., I was about to...","The structure future in the past is used to talk about plans, intentions, or actions that someone expected to happen in the future, but from the perspective of the past. It often describes something that was planned but did not actually happen.

- I was going to... : We use I was going to + base verb to talk about something we intended to do in the past, but usually it didn’t happen.It highlights plans, arrangements, or expectations that were later changed.
This structure often introduces contrast between expectation and reality.
Example meaning:
“I was going to study abroad” = I had the plan to study abroad, but in the end, I didn’t.","1. I was going to buy tickets for the movie, but they sold out quickly.
2. We were going to travel last summer, but I changed my plans. 
3. He was going to surprise his parents, but they found out in advance."
